seed,difficulty,instruction,text_input,prompt,filter_instruction,filter_prompt,gold_label,gold_lines,target_color,target_shape,target_marker,num_records
2000,medium,Count the entries that are yellow circles with marker=1. Respond with a number only.,"green | triangle | 0
yellow | triangle | 1
green | circle | 1
red | circle | 0
yellow | square | 0
blue | circle | 0
red | circle | 0
blue | circle | 0
yellow | circle | 1
blue | triangle | 1
green | circle | 0
yellow | circle | 1
green | circle | 1
yellow | triangle | 1
yellow | triangle | 0
green | square | 0
yellow | circle | 0
red | square | 0
yellow | square | 0
yellow | square | 1
yellow | circle | 0
yellow | circle | 1","Count the entries that are yellow circles with marker=1. Respond with a number only.

green | triangle | 0
yellow | triangle | 1
green | circle | 1
red | circle | 0
yellow | square | 0
blue | circle | 0
red | circle | 0
blue | circle | 0
yellow | circle | 1
blue | triangle | 1
green | circle | 0
yellow | circle | 1
green | circle | 1
yellow | triangle | 1
yellow | triangle | 0
green | square | 0
yellow | circle | 0
red | square | 0
yellow | square | 0
yellow | square | 1
yellow | circle | 0
yellow | circle | 1","Return the line numbers (1-based) of the entries that are yellow circles with marker=1.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow circles with marker=1.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | triangle | 0
yellow | triangle | 1
green | circle | 1
red | circle | 0
yellow | square | 0
blue | circle | 0
red | circle | 0
blue | circle | 0
yellow | circle | 1
blue | triangle | 1
green | circle | 0
yellow | circle | 1
green | circle | 1
yellow | triangle | 1
yellow | triangle | 0
green | square | 0
yellow | circle | 0
red | square | 0
yellow | square | 0
yellow | square | 1
yellow | circle | 0
yellow | circle | 1",3,"[9, 12, 22]",yellow,circle,1,22
2001,medium,Count the entries that are red squares with marker=0. Respond with a number only.,"blue | square | 1
yellow | triangle | 0
red | square | 1
red | circle | 0
red | square | 0
red | square | 1
red | square | 0
red | square | 0
green | triangle | 0
blue | circle | 0
green | square | 0
red | square | 0
green | square | 0
red | circle | 1
red | square | 0
green | circle | 0","Count the entries that are red squares with marker=0. Respond with a number only.

blue | square | 1
yellow | triangle | 0
red | square | 1
red | circle | 0
red | square | 0
red | square | 1
red | square | 0
red | square | 0
green | triangle | 0
blue | circle | 0
green | square | 0
red | square | 0
green | square | 0
red | circle | 1
red | square | 0
green | circle | 0","Return the line numbers (1-based) of the entries that are red squares with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are red squares with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | square | 1
yellow | triangle | 0
red | square | 1
red | circle | 0
red | square | 0
red | square | 1
red | square | 0
red | square | 0
green | triangle | 0
blue | circle | 0
green | square | 0
red | square | 0
green | square | 0
red | circle | 1
red | square | 0
green | circle | 0",5,"[5, 7, 8, 12, 15]",red,square,0,16
2002,medium,Count the entries that are red triangles with marker=1. Respond with a number only.,"green | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | square | 0
red | triangle | 1
red | triangle | 1
red | circle | 1
green | circle | 0
blue | triangle | 1
red | circle | 0
red | circle | 1
red | triangle | 1
red | triangle | 1
yellow | triangle | 1
green | circle | 0
red | triangle | 1
blue | triangle | 1
blue | circle | 0
green | circle | 1
green | triangle | 0
yellow | square | 0","Count the entries that are red triangles with marker=1. Respond with a number only.

green | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | square | 0
red | triangle | 1
red | triangle | 1
red | circle | 1
green | circle | 0
blue | triangle | 1
red | circle | 0
red | circle | 1
red | triangle | 1
red | triangle | 1
yellow | triangle | 1
green | circle | 0
red | triangle | 1
blue | triangle | 1
blue | circle | 0
green | circle | 1
green | triangle | 0
yellow | square | 0","Return the line numbers (1-based) of the entries that are red triangles with marker=1.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are red triangles with marker=1.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | square | 0
red | triangle | 1
red | triangle | 1
red | circle | 1
green | circle | 0
blue | triangle | 1
red | circle | 0
red | circle | 1
red | triangle | 1
red | triangle | 1
yellow | triangle | 1
green | circle | 0
red | triangle | 1
blue | triangle | 1
blue | circle | 0
green | circle | 1
green | triangle | 0
yellow | square | 0",5,"[6, 7, 13, 14, 17]",red,triangle,1,22
2003,medium,Count the entries that are red triangles with marker=0. Respond with a number only.,"yellow | circle | 1
red | circle | 1
blue | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | triangle | 1
red | triangle | 0
green | circle | 1
green | circle | 0
green | triangle | 0
green | square | 1
red | triangle | 0
red | square | 0
green | triangle | 1
yellow | square | 0
green | triangle | 1
green | circle | 0","Count the entries that are red triangles with marker=0. Respond with a number only.

yellow | circle | 1
red | circle | 1
blue | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | triangle | 1
red | triangle | 0
green | circle | 1
green | circle | 0
green | triangle | 0
green | square | 1
red | triangle | 0
red | square | 0
green | triangle | 1
yellow | square | 0
green | triangle | 1
green | circle | 0","Return the line numbers (1-based) of the entries that are red triangles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are red triangles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | circle | 1
red | circle | 1
blue | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | triangle | 1
red | triangle | 0
green | circle | 1
green | circle | 0
green | triangle | 0
green | square | 1
red | triangle | 0
red | square | 0
green | triangle | 1
yellow | square | 0
green | triangle | 1
green | circle | 0",3,"[6, 8, 13]",red,triangle,0,18
2004,medium,Count the entries that are red triangles with marker=0. Respond with a number only.,"red | square | 1
yellow | circle | 1
blue | circle | 0
green | circle | 1
yellow | square | 1
green | square | 1
blue | triangle | 0
red | circle | 1
red | triangle | 1
green | triangle | 1
red | triangle | 0
yellow | square | 0
green | circle | 0
blue | triangle | 1
red | circle | 1
green | square | 0
red | circle | 0
yellow | triangle | 0","Count the entries that are red triangles with marker=0. Respond with a number only.

red | square | 1
yellow | circle | 1
blue | circle | 0
green | circle | 1
yellow | square | 1
green | square | 1
blue | triangle | 0
red | circle | 1
red | triangle | 1
green | triangle | 1
red | triangle | 0
yellow | square | 0
green | circle | 0
blue | triangle | 1
red | circle | 1
green | square | 0
red | circle | 0
yellow | triangle | 0","Return the line numbers (1-based) of the entries that are red triangles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are red triangles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | square | 1
yellow | circle | 1
blue | circle | 0
green | circle | 1
yellow | square | 1
green | square | 1
blue | triangle | 0
red | circle | 1
red | triangle | 1
green | triangle | 1
red | triangle | 0
yellow | square | 0
green | circle | 0
blue | triangle | 1
red | circle | 1
green | square | 0
red | circle | 0
yellow | triangle | 0",1,[11],red,triangle,0,18
2005,medium,Count the entries that are yellow circles with marker=0. Respond with a number only.,"green | circle | 0
green | square | 1
red | circle | 0
yellow | circle | 1
red | square | 0
yellow | triangle | 1
yellow | circle | 1
red | triangle | 1
red | square | 1
blue | square | 0
red | circle | 1
blue | circle | 0
yellow | circle | 0
blue | circle | 1
blue | square | 0
red | triangle | 1
yellow | square | 0
yellow | circle | 0
blue | circle | 1","Count the entries that are yellow circles with marker=0. Respond with a number only.

green | circle | 0
green | square | 1
red | circle | 0
yellow | circle | 1
red | square | 0
yellow | triangle | 1
yellow | circle | 1
red | triangle | 1
red | square | 1
blue | square | 0
red | circle | 1
blue | circle | 0
yellow | circle | 0
blue | circle | 1
blue | square | 0
red | triangle | 1
yellow | square | 0
yellow | circle | 0
blue | circle | 1","Return the line numbers (1-based) of the entries that are yellow circles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow circles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

green | circle | 0
green | square | 1
red | circle | 0
yellow | circle | 1
red | square | 0
yellow | triangle | 1
yellow | circle | 1
red | triangle | 1
red | square | 1
blue | square | 0
red | circle | 1
blue | circle | 0
yellow | circle | 0
blue | circle | 1
blue | square | 0
red | triangle | 1
yellow | square | 0
yellow | circle | 0
blue | circle | 1",2,"[13, 18]",yellow,circle,0,19
2006,medium,Count the entries that are yellow circles with marker=0. Respond with a number only.,"yellow | triangle | 0
yellow | circle | 0
blue | triangle | 0
blue | circle | 0
red | circle | 1
yellow | square | 0
green | triangle | 1
yellow | circle | 0
blue | triangle | 1
blue | circle | 0
red | square | 0
blue | circle | 0
yellow | circle | 0
yellow | square | 1
yellow | circle | 0
green | circle | 0
yellow | circle | 0
yellow | circle | 1","Count the entries that are yellow circles with marker=0. Respond with a number only.

yellow | triangle | 0
yellow | circle | 0
blue | triangle | 0
blue | circle | 0
red | circle | 1
yellow | square | 0
green | triangle | 1
yellow | circle | 0
blue | triangle | 1
blue | circle | 0
red | square | 0
blue | circle | 0
yellow | circle | 0
yellow | square | 1
yellow | circle | 0
green | circle | 0
yellow | circle | 0
yellow | circle | 1","Return the line numbers (1-based) of the entries that are yellow circles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are yellow circles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

yellow | triangle | 0
yellow | circle | 0
blue | triangle | 0
blue | circle | 0
red | circle | 1
yellow | square | 0
green | triangle | 1
yellow | circle | 0
blue | triangle | 1
blue | circle | 0
red | square | 0
blue | circle | 0
yellow | circle | 0
yellow | square | 1
yellow | circle | 0
green | circle | 0
yellow | circle | 0
yellow | circle | 1",5,"[2, 8, 13, 15, 17]",yellow,circle,0,18
2007,medium,Count the entries that are blue triangles with marker=0. Respond with a number only.,"blue | circle | 0
blue | triangle | 1
yellow | triangle | 0
green | triangle | 1
yellow | triangle | 1
red | square | 0
blue | triangle | 0
blue | square | 0
yellow | circle | 0
blue | square | 0
red | triangle | 1
blue | triangle | 0
blue | triangle | 0
blue | triangle | 0
blue | triangle | 0
yellow | triangle | 0
red | circle | 0
blue | square | 1
yellow | circle | 1","Count the entries that are blue triangles with marker=0. Respond with a number only.

blue | circle | 0
blue | triangle | 1
yellow | triangle | 0
green | triangle | 1
yellow | triangle | 1
red | square | 0
blue | triangle | 0
blue | square | 0
yellow | circle | 0
blue | square | 0
red | triangle | 1
blue | triangle | 0
blue | triangle | 0
blue | triangle | 0
blue | triangle | 0
yellow | triangle | 0
red | circle | 0
blue | square | 1
yellow | circle | 1","Return the line numbers (1-based) of the entries that are blue triangles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are blue triangles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | circle | 0
blue | triangle | 1
yellow | triangle | 0
green | triangle | 1
yellow | triangle | 1
red | square | 0
blue | triangle | 0
blue | square | 0
yellow | circle | 0
blue | square | 0
red | triangle | 1
blue | triangle | 0
blue | triangle | 0
blue | triangle | 0
blue | triangle | 0
yellow | triangle | 0
red | circle | 0
blue | square | 1
yellow | circle | 1",5,"[7, 12, 13, 14, 15]",blue,triangle,0,19
2008,medium,Count the entries that are blue triangles with marker=1. Respond with a number only.,"blue | square | 1
red | triangle | 1
yellow | circle | 0
green | triangle | 1
blue | square | 0
green | circle | 0
red | triangle | 0
yellow | circle | 1
blue | triangle | 1
red | triangle | 1
green | square | 0
red | triangle | 0
yellow | triangle | 1
yellow | circle | 0
blue | square | 0
blue | triangle | 0","Count the entries that are blue triangles with marker=1. Respond with a number only.

blue | square | 1
red | triangle | 1
yellow | circle | 0
green | triangle | 1
blue | square | 0
green | circle | 0
red | triangle | 0
yellow | circle | 1
blue | triangle | 1
red | triangle | 1
green | square | 0
red | triangle | 0
yellow | triangle | 1
yellow | circle | 0
blue | square | 0
blue | triangle | 0","Return the line numbers (1-based) of the entries that are blue triangles with marker=1.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are blue triangles with marker=1.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

blue | square | 1
red | triangle | 1
yellow | circle | 0
green | triangle | 1
blue | square | 0
green | circle | 0
red | triangle | 0
yellow | circle | 1
blue | triangle | 1
red | triangle | 1
green | square | 0
red | triangle | 0
yellow | triangle | 1
yellow | circle | 0
blue | square | 0
blue | triangle | 0",1,[9],blue,triangle,1,16
2009,medium,Count the entries that are green triangles with marker=0. Respond with a number only.,"red | triangle | 0
yellow | square | 1
green | triangle | 1
green | square | 1
yellow | triangle | 0
green | triangle | 0
green | triangle | 1
green | square | 0
red | square | 0
green | triangle | 1
red | circle | 1
green | triangle | 1
green | square | 0
yellow | square | 0
green | square | 1
red | circle | 0
red | triangle | 0
yellow | square | 0
yellow | circle | 1","Count the entries that are green triangles with marker=0. Respond with a number only.

red | triangle | 0
yellow | square | 1
green | triangle | 1
green | square | 1
yellow | triangle | 0
green | triangle | 0
green | triangle | 1
green | square | 0
red | square | 0
green | triangle | 1
red | circle | 1
green | triangle | 1
green | square | 0
yellow | square | 0
green | square | 1
red | circle | 0
red | triangle | 0
yellow | square | 0
yellow | circle | 1","Return the line numbers (1-based) of the entries that are green triangles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object","Return the line numbers (1-based) of the entries that are green triangles with marker=0.
Respond with a JSON object of the form {""lines"": [<sorted unique integers>]}. 
Rules:
- Use 1-based indexing
- Sort ascending
- Do not include duplicates
- Return only the JSON object

red | triangle | 0
yellow | square | 1
green | triangle | 1
green | square | 1
yellow | triangle | 0
green | triangle | 0
green | triangle | 1
green | square | 0
red | square | 0
green | triangle | 1
red | circle | 1
green | triangle | 1
green | square | 0
yellow | square | 0
green | square | 1
red | circle | 0
red | triangle | 0
yellow | square | 0
yellow | circle | 1",1,[6],green,triangle,0,19
