seed,difficulty,instruction,text_input,prompt,gold_label,target_color,target_shape,target_marker,num_records
1000,easy,Count the entries that are yellow triangles. Respond with a number only.,"blue | circle | 0
green | square | 1
yellow | square | 0
yellow | triangle | 0
yellow | square | 1
blue | triangle | 1
yellow | square | 1
yellow | triangle | 1
yellow | triangle | 1
yellow | square | 1
yellow | triangle | 0
red | triangle | 0","Count the entries that are yellow triangles. Respond with a number only.

blue | circle | 0
green | square | 1
yellow | square | 0
yellow | triangle | 0
yellow | square | 1
blue | triangle | 1
yellow | square | 1
yellow | triangle | 1
yellow | triangle | 1
yellow | square | 1
yellow | triangle | 0
red | triangle | 0",4,yellow,triangle,,12
1001,easy,Count the entries that are red circles. Respond with a number only.,"red | square | 0
yellow | square | 1
blue | circle | 1
blue | square | 0
red | circle | 1
yellow | square | 1
blue | circle | 0
red | circle | 1
yellow | triangle | 0
red | circle | 1
yellow | circle | 0
red | circle | 0","Count the entries that are red circles. Respond with a number only.

red | square | 0
yellow | square | 1
blue | circle | 1
blue | square | 0
red | circle | 1
yellow | square | 1
blue | circle | 0
red | circle | 1
yellow | triangle | 0
red | circle | 1
yellow | circle | 0
red | circle | 0",4,red,circle,,12
1002,easy,Count the entries that are yellow circles. Respond with a number only.,"green | circle | 1
yellow | circle | 1
red | circle | 1
yellow | circle | 1
green | triangle | 1
red | circle | 1
blue | circle | 1
blue | circle | 1
green | triangle | 0
yellow | square | 0
green | circle | 1
yellow | square | 0
red | circle | 0","Count the entries that are yellow circles. Respond with a number only.

green | circle | 1
yellow | circle | 1
red | circle | 1
yellow | circle | 1
green | triangle | 1
red | circle | 1
blue | circle | 1
blue | circle | 1
green | triangle | 0
yellow | square | 0
green | circle | 1
yellow | square | 0
red | circle | 0",2,yellow,circle,,13
1003,easy,Count the entries that are yellow triangles. Respond with a number only.,"green | triangle | 0
green | square | 1
red | square | 0
green | square | 0
red | square | 0
yellow | triangle | 1
yellow | square | 1
yellow | circle | 0
green | triangle | 0
red | triangle | 1
yellow | triangle | 1
green | triangle | 0
blue | square | 1
blue | triangle | 0","Count the entries that are yellow triangles. Respond with a number only.

green | triangle | 0
green | square | 1
red | square | 0
green | square | 0
red | square | 0
yellow | triangle | 1
yellow | square | 1
yellow | circle | 0
green | triangle | 0
red | triangle | 1
yellow | triangle | 1
green | triangle | 0
blue | square | 1
blue | triangle | 0",2,yellow,triangle,,14
1004,easy,Count the entries that are yellow circles. Respond with a number only.,"red | triangle | 0
green | triangle | 0
red | square | 0
yellow | square | 0
green | circle | 1
red | triangle | 0
red | triangle | 0
