seed,difficulty,prompt,image_path,gold_label,target_shape,target_color,target_cluster_id,num_items
1000,easy,Count the blue circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1000.png,0,circle,blue,0,18
1001,easy,Count the blue circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1001.png,3,circle,blue,2,15
1002,easy,Count the blue circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1002.png,1,circle,blue,0,20
1003,easy,Count the red circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1003.png,3,circle,red,2,20
1004,easy,Count the yellow triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1004.png,4,triangle,yellow,3,21
1005,easy,Count the green squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1005.png,1,square,green,2,18
1006,easy,Count the blue circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1006.png,2,circle,blue,3,18
1007,easy,Count the yellow squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1007.png,1,square,yellow,0,15
1008,easy,Count the red squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1008.png,0,square,red,2,18
1009,easy,Count the blue squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1009.png,1,square,blue,1,16
1010,easy,Count the blue triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1010.png,1,triangle,blue,1,16
1011,easy,Count the yellow circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1011.png,2,circle,yellow,2,15
1012,easy,Count the green circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1012.png,1,circle,green,2,18
1013,easy,Count the red triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1013.png,4,triangle,red,2,21
1014,easy,Count the red circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1014.png,4,circle,red,0,15
1015,easy,Count the blue squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1015.png,4,square,blue,3,20
1016,easy,Count the red squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1016.png,1,square,red,0,19
1017,easy,Count the yellow squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1017.png,0,square,yellow,0,18
1018,easy,Count the red squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1018.png,2,square,red,1,17
1019,easy,Count the yellow circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/easy/easy_1019.png,1,circle,yellow,0,21
2000,medium,Count the blue triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2000.png,2,triangle,blue,1,32
2001,medium,Count the green triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2001.png,2,triangle,green,1,22
2002,medium,Count the green triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2002.png,0,triangle,green,2,24
2003,medium,Count the red squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2003.png,3,square,red,2,23
2004,medium,Count the yellow triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2004.png,4,triangle,yellow,0,24
2005,medium,Count the green circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2005.png,0,circle,green,1,31
2006,medium,Count the blue squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2006.png,3,square,blue,1,26
2007,medium,Count the yellow triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2007.png,1,triangle,yellow,3,26
2008,medium,Count the blue squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2008.png,3,square,blue,1,24
2009,medium,Count the green squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2009.png,1,square,green,0,30
2010,medium,Count the yellow triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2010.png,5,triangle,yellow,3,24
2011,medium,Count the green triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2011.png,0,triangle,green,3,26
2012,medium,Count the red circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2012.png,3,circle,red,2,24
2013,medium,Count the blue triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2013.png,3,triangle,blue,1,26
2014,medium,Count the yellow triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2014.png,2,triangle,yellow,3,33
2015,medium,Count the yellow squares in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2015.png,2,square,yellow,1,25
2016,medium,Count the yellow circles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2016.png,4,circle,yellow,2,29
2017,medium,Count the green triangles in the same cluster as the starred item. Ignore all other items. Respond with a number only.,images/medium/medium_2017.png,4,triangle,green,1,24
