seed,difficulty,instruction,text_input,prompt,gold_label,target_color,target_shape,target_marker,num_records
2000,medium,Count the entries that are yellow circles with marker=1. Respond with a number only.,"green | triangle | 0
yellow | triangle | 1
green | circle | 1
red | circle | 0
yellow | square | 0
blue | circle | 0
red | circle | 0
blue | circle | 0
yellow | circle | 1
blue | triangle | 1
green | circle | 0
yellow | circle | 1
green | circle | 1
yellow | triangle | 1
yellow | triangle | 0
green | square | 0
yellow | circle | 0
red | square | 0
yellow | square | 0
yellow | square | 1
yellow | circle | 0
yellow | circle | 1","Count the entries that are yellow circles with marker=1. Respond with a number only.

green | triangle | 0
yellow | triangle | 1
green | circle | 1
red | circle | 0
yellow | square | 0
blue | circle | 0
red | circle | 0
blue | circle | 0
yellow | circle | 1
blue | triangle | 1
green | circle | 0
yellow | circle | 1
green | circle | 1
yellow | triangle | 1
yellow | triangle | 0
green | square | 0
yellow | circle | 0
red | square | 0
yellow | square | 0
yellow | square | 1
yellow | circle | 0
yellow | circle | 1",3,yellow,circle,1,22
2001,medium,Count the entries that are red squares with marker=0. Respond with a number only.,"blue | square | 1
yellow | triangle | 0
red | square | 1
red | circle | 0
red | square | 0
red | square | 1
red | square | 0
red | square | 0
green | triangle | 0
blue | circle | 0
green | square | 0
red | square | 0
green | square | 0
red | circle | 1
red | square | 0
green | circle | 0","Count the entries that are red squares with marker=0. Respond with a number only.

blue | square | 1
yellow | triangle | 0
red | square | 1
red | circle | 0
red | square | 0
red | square | 1
red | square | 0
red | square | 0
green | triangle | 0
blue | circle | 0
green | square | 0
red | square | 0
green | square | 0
red | circle | 1
red | square | 0
green | circle | 0",5,red,square,0,16
2002,medium,Count the entries that are red triangles with marker=1. Respond with a number only.,"green | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | square | 0
red | triangle | 1
red | triangle | 1
red | circle | 1
green | circle | 0
blue | triangle | 1
red | circle | 0
red | circle | 1
red | triangle | 1
red | triangle | 1
yellow | triangle | 1
green | circle | 0
red | triangle | 1
blue | triangle | 1
blue | circle | 0
green | circle | 1
green | triangle | 0
yellow | square | 0","Count the entries that are red triangles with marker=1. Respond with a number only.

green | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | square | 0
red | triangle | 1
red | triangle | 1
red | circle | 1
green | circle | 0
blue | triangle | 1
red | circle | 0
red | circle | 1
red | triangle | 1
red | triangle | 1
yellow | triangle | 1
green | circle | 0
red | triangle | 1
blue | triangle | 1
blue | circle | 0
green | circle | 1
green | triangle | 0
yellow | square | 0",5,red,triangle,1,22
2003,medium,Count the entries that are red triangles with marker=0. Respond with a number only.,"yellow | circle | 1
red | circle | 1
blue | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | triangle | 1
red | triangle | 0
green | circle | 1
green | circle | 0
green | triangle | 0
green | square | 1
red | triangle | 0
red | square | 0
green | triangle | 1
yellow | square | 0
green | triangle | 1
green | circle | 0","Count the entries that are red triangles with marker=0. Respond with a number only.

yellow | circle | 1
red | circle | 1
blue | circle | 0
red | square | 0
red | circle | 0
red | triangle | 0
red | triangle | 1
red | triangle | 0
green | circle | 1
green | circle | 0
green | triangle | 0
green | square | 1
red | triangle | 0
red | square | 0
green | triangle | 1
yellow | square | 0
green | triangle | 1
green | circle | 0",3,red,triangle,0,18
2004,medium,Count the entries that are red triangles with marker=0. Respond with a number only.,"red | square | 1
yellow | circle | 1
blue | circle | 0
green | circle | 1
yellow | square | 1
green | square | 1
blue | triangle | 0
red | circle | 1
red | triangle | 1
green | triangle | 1
red | triangle | 0
yellow | square | 0
green | circle | 0
blue | triangle | 1
red | circle | 1
green | square | 0
red | circle | 0
